,Kingdom,Phylum,Class,Order,Family,Genus
ASV_35621,Bacteria,Actinobacteria,Coriobacteriia,OPB41,NA,NA
ASV_35622,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV_35623,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,NA,NA
ASV_35624,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),NA,NA
ASV_35625,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,NA
ASV_35626,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02
ASV_35627,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,NA
ASV_35628,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Z195MB87
ASV_35629,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Craurococcus
ASV_35630,Bacteria,Chloroflexi,Anaerolineae,NA,NA,NA
ASV_35631,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA
ASV_35632,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Synechococcus_PCC-7902
ASV_35633,Bacteria,Omnitrophicaeota,NA,NA,NA,NA
ASV_35634,Bacteria,NA,NA,NA,NA,NA
ASV_35635,Bacteria,NA,NA,NA,NA,NA
ASV_35636,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA
ASV_35637,Bacteria,Chloroflexi,Anaerolineae,SJA-15,NA,NA
ASV_35638,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,NA,NA
ASV_35639,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_35640,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_35641,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_35642,Bacteria,NA,NA,NA,NA,NA
ASV_35643,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_35644,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_35645,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Geitlerinemaceae,Geitlerinema_PCC-7105
ASV_35646,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_35647,Bacteria,FBP,NA,NA,NA,NA
ASV_35648,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Candidatus_Methanoperedens
ASV_35649,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Geitlerinemaceae,Geitlerinema_PCC-7105
ASV_35650,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Azohydromonas
